angle,pesos_first,pesos_second
-65.0,[ 0.01068895 -0.00861438 -0.0001086  -0.00026096],[ -2.66596393e-04  -1.69532058e-03  -4.24502024e-05   8.31837948e-04]
-64.9,[ 0.01061667 -0.00855613 -0.00010786 -0.00025919],[ -2.47980695e-04  -1.57694098e-03  -3.94860209e-05   7.73752979e-04]
-64.8,[ 0.01054763 -0.00850049 -0.00010716 -0.00025751],[ -2.30385853e-04  -1.46505312e-03  -3.66843902e-05   7.18853294e-04]
-64.7,[ 0.01048136 -0.00844708 -0.00010649 -0.00025589],[ -2.13664477e-04  -1.35871975e-03  -3.40218418e-05   6.66679013e-04]
-64.6,[ 0.0104176  -0.00839569 -0.00010584 -0.00025433],[ -1.97730974e-04  -1.25739656e-03  -3.14847466e-05   6.16963064e-04]
-64.5,[ 0.01035606 -0.0083461  -0.00010522 -0.00025283],[ -1.82492695e-04  -1.16049440e-03  -2.90583520e-05   5.69416364e-04]
-64.4,[ 0.0102965  -0.0082981  -0.00010461 -0.00025138],[ -1.67872757e-04  -1.06752434e-03  -2.67304162e-05   5.23799022e-04]
-64.3,[ 0.01023877 -0.00825157 -0.00010402 -0.00024997],[ -1.53821284e-04  -9.78169227e-04  -2.44929969e-05   4.79955410e-04]
-64.2,[ 0.01018272 -0.0082064  -0.00010345 -0.0002486 ],[ -1.40289017e-04  -8.92115811e-04  -2.23382511e-05   4.37731834e-04]
-64.1,[ 0.01012819 -0.00816245 -0.0001029  -0.00024727],[ -1.27226730e-04  -8.09051057e-04  -2.02583403e-05   3.96974696e-04]
-64.0,[ 0.01007506 -0.00811964 -0.00010236 -0.00024597],[ -1.14598460e-04  -7.28746270e-04  -1.82475380e-05   3.57571783e-04]
-63.9,[ 0.01002325 -0.00807788 -0.00010183 -0.00024471],[ -1.02372836e-04  -6.51001964e-04  -1.63008493e-05   3.19425214e-04]
-63.8,[ 0.00997266 -0.00803711 -0.00010132 -0.00024347],[ -9.05222960e-05  -5.75642865e-04  -1.44138852e-05   2.82448987e-04]
-63.7,[ 0.0099232  -0.00799725 -0.00010082 -0.00024226],[ -7.90160889e-05  -5.02473421e-04  -1.25817493e-05   2.46547152e-04]
-63.6,[ 0.00987482 -0.00795826 -0.00010033 -0.00024108],[ -6.78391716e-05  -4.31397974e-04  -1.08020463e-05   2.11672772e-04]
-63.5,[  9.82746005e-03  -7.92009100e-03  -9.98450801e-05  -2.39925836e-04],[ -5.69721227e-05  -3.62293019e-04  -9.07168368e-06   1.77765247e-04]
-63.4,[  9.78104769e-03  -7.88268662e-03  -9.93735397e-05  -2.38792733e-04],[ -4.63914881e-05  -2.95009410e-04  -7.38692689e-06   1.44751397e-04]
-63.3,[  9.73553185e-03  -7.84600475e-03  -9.89111076e-05  -2.37681518e-04],[ -3.60818407e-05  -2.29449042e-04  -5.74531946e-06   1.12583085e-04]
-63.2,[  9.69086941e-03  -7.81001064e-03  -9.84573458e-05  -2.36591137e-04],[ -2.60291880e-05  -1.65522937e-04  -4.14463335e-06   8.12166515e-05]
