angle,pesos_first,pesos_second
-65.0,[ 1.24833714  0.05597433 -0.21766096  0.02286004],[ 0.68047065 -0.0184112   0.11750389 -0.0041623 ]
-64.9,[ 1.24520685  0.05559584 -0.21618919  0.02270547],[ 0.68779745 -0.01712559  0.10929892 -0.00387166]
-64.8,[ 1.24221668  0.0552343  -0.21478329  0.02255781],[ 0.69472246 -0.01591049  0.10154389 -0.00359695]
-64.7,[ 1.23934626  0.05488724 -0.2134337   0.02241607],[ 0.70130369 -0.01475571  0.09417384 -0.00333589]
-64.6,[ 1.23658482  0.05455335 -0.21213535  0.02227971],[ 0.70757483 -0.01365534  0.08715106 -0.00308712]
-64.5,[ 1.23391964  0.0542311  -0.21088226  0.0221481 ],[ 0.71357234 -0.01260298  0.0804347  -0.00284921]
-64.4,[ 1.23134009  0.0539192  -0.20966942  0.02202072],[ 0.71932648 -0.01159332  0.07399088 -0.00262095]
-64.3,[ 1.22883983  0.0536169  -0.20849387  0.02189726],[ 0.72485689 -0.01062293  0.06779761 -0.00240157]
-64.2,[ 1.22641228  0.05332338 -0.2073525   0.02177738],[ 0.73018295 -0.00968839  0.06183319 -0.0021903 ]
-64.1,[ 1.2240505   0.05303781 -0.20624206  0.02166076],[ 0.73532403 -0.0087863   0.05607591 -0.00198636]
-64.0,[ 1.22174969  0.05275962 -0.20516029  0.02154715],[ 0.74029428 -0.00791419  0.05050993 -0.0017892 ]
-63.9,[ 1.21950565  0.05248829 -0.2041052   0.02143633],[ 0.74510607 -0.00706989  0.04512142 -0.00159832]
-63.8,[ 1.2173147   0.05222338 -0.20307508  0.02132814],[ 0.74977023 -0.00625149  0.03989822 -0.0014133 ]
-63.7,[ 1.21517237  0.05196435 -0.20206781  0.02122236],[ 0.75429886 -0.00545687  0.03482679 -0.00123366]
-63.6,[ 1.21307699  0.051711   -0.20108263  0.02111889],[ 0.75869789 -0.00468499  0.0299005  -0.00105916]
-63.5,[ 1.21102598  0.05146301 -0.2001183   0.02101761],[ 0.76297497 -0.00393451  0.02511079 -0.00088949]
-63.4,[ 1.20901586  0.05121996 -0.1991732   0.02091835],[  7.67139313e-01  -3.20380508e-03   2.04473147e-02  -7.24298351e-04]
-63.3,[ 1.20704457  0.05098161 -0.19824635  0.020821  ],[  7.71197004e-01  -2.49181885e-03   1.59032784e-02  -5.63336482e-04]
-63.2,[ 1.20511024  0.05074773 -0.19733688  0.02072548],[  7.75153546e-01  -1.79758072e-03   1.14725140e-02  -4.06387005e-04]
-63.1,[ 1.20321117  0.05051811 -0.19644399  0.02063171],[  7.79013954e-01  -1.12021091e-03   7.14940654e-03  -2.53251023e-04]
-63.0,[ 1.20134472  0.05029244 -0.19556644  0.02053954],[  7.82785008e-01  -4.58519592e-04   2.92636230e-03  -1.03659547e-04]
-62.9,[ 1.19951058  0.05007067 -0.19470408  0.02044897],[  7.86468638e-01   1.87831706e-04  -1.19877892e-03   4.24639425e-05]
-62.8,[ 1.19770745  0.04985265 -0.1938563   0.02035993],[  7.90068709e-01   8.19521317e-04  -5.23034637e-03   1.85272800e-04]
-62.7,[ 1.19593308  0.04963811 -0.19302204  0.02027231],[  7.93590885e-01   1.43754308e-03  -9.17468293e-03   3.24991707e-04]
-62.6,[ 1.19418636  0.04942692 -0.19220078  0.02018606],[  7.97038371e-01   2.04245920e-03  -1.30353767e-02   4.61747763e-04]
-62.5,[ 1.19246632  0.04921894 -0.19139206  0.02010112],[  8.00414137e-01   2.63479094e-03  -1.68157545e-02   5.95658815e-04]
-62.4,[ 1.19077304  0.04901421 -0.19059593  0.02001751],[  8.03718932e-01   3.21466966e-03  -2.05166546e-02   7.26754556e-04]
-62.3,[ 1.1891036   0.04881235 -0.18981101  0.01993507],[ 0.80695938  0.00378326 -0.02414549  0.0008553 ]
-62.2,[ 1.18745822  0.04861341 -0.1890374   0.01985382],[ 0.81013584  0.00434062 -0.02770268  0.0009813 ]
-62.1,[ 1.18583516  0.04841716 -0.18827428  0.01977368],[ 0.81325249  0.00488748 -0.03119288  0.00110493]
-62.0,[ 1.18423472  0.04822365 -0.1875218   0.01969465],[ 0.81630945  0.00542388 -0.03461624  0.0012262 ]
-61.9,[ 1.18265625  0.0480328  -0.18677965  0.0196167 ],[ 0.8193087   0.00595014 -0.03797498  0.00134517]
-61.8,[ 1.18109716  0.04784429 -0.18604661  0.01953971],[ 0.82225583  0.00646726 -0.04127534  0.00146208]
-61.7,[ 1.17955887  0.04765829 -0.18532334  0.01946375],[ 0.82514877  0.00697487 -0.04451502  0.00157684]
-61.6,[ 1.17803986  0.04747463 -0.18460915  0.01938874],[ 0.827991    0.00747359 -0.04769791  0.00168959]
-61.5,[ 1.17653962  0.04729323 -0.18390377  0.01931466],[ 0.83078402  0.00796367 -0.0508257   0.00180038]
-61.4,[ 1.17505769  0.04711405 -0.18320701  0.01924148],[ 0.83352925  0.00844536 -0.05389997  0.00190928]
-61.3,[ 1.17359266  0.04693691 -0.1825182   0.01916914],[ 0.83622981  0.00891922 -0.05692421  0.00201641]
-61.2,[ 1.17214604  0.046762   -0.18183804  0.0190977 ],[ 0.83888342  0.00938484 -0.05989588  0.00212167]
-61.1,[ 1.17071456  0.04658892 -0.181165    0.01902702],[ 0.84149655  0.00984335 -0.06282221  0.00222533]
-61.0,[ 1.16930072  0.04641797 -0.18050025  0.0189572 ],[ 0.84406509  0.01029404 -0.06569861  0.00232722]
-60.9,[ 1.16790132  0.04624877 -0.17984229  0.0188881 ],[ 0.8465953   0.01073801 -0.06853208  0.00242759]
-60.8,[ 1.16651792  0.0460815  -0.17919185  0.01881979],[ 0.84908475  0.01117482 -0.07131992  0.00252634]
-60.7,[ 1.16514926  0.04591602 -0.17854835  0.0187522 ],[ 0.85153613  0.01160496 -0.07406511  0.00262358]
-60.6,[ 1.16379505  0.04575228 -0.17791163  0.01868533],[ 0.85395033  0.01202857 -0.07676868  0.00271935]
-60.5,[ 1.162455    0.04559025 -0.17728158  0.01861916],[ 0.85632824  0.01244581 -0.07943159  0.00281368]
-60.4,[ 1.16112885  0.04542991 -0.17665806  0.01855367],[ 0.85867067  0.01285682 -0.08205478  0.0029066 ]
-60.3,[ 1.15981542  0.0452711  -0.17604053  0.01848882],[ 0.86098004  0.01326204 -0.08464095  0.00299821]
-60.2,[ 1.15851632  0.04511402 -0.17542972  0.01842467],[ 0.86325387  0.01366102 -0.08718732  0.00308841]
-60.1,[ 1.15722946  0.04495843 -0.17482468  0.01836112],[ 0.86549611  0.01405446 -0.08969831  0.00317735]
-60.0,[ 1.15595465  0.04480429 -0.1742253   0.01829817],[ 0.86770742  0.01444247 -0.09217466  0.00326507]
-59.9,[ 1.15469257  0.04465169 -0.17363191  0.01823585],[ 0.86988689  0.01482489 -0.09461535  0.00335153]
-59.8,[ 1.15344214  0.0445005  -0.17304398  0.0181741 ],[ 0.8720367   0.01520211 -0.09702283  0.00343681]
-59.7,[ 1.15220404  0.0443508  -0.17246187  0.01811296],[ 0.87415591  0.01557396 -0.09939605  0.00352087]
-59.6,[ 1.15097721  0.04420246 -0.17188505  0.01805238],[ 0.87624665  0.01594081 -0.10173738  0.00360381]
-59.5,[ 1.14976147  0.04405547 -0.17131344  0.01799235],[ 0.87830947  0.01630276 -0.10404744  0.00368564]
-59.4,[ 1.14855666  0.04390979 -0.17074697  0.01793286],[ 0.88034489  0.01665991 -0.10632683  0.00376638]
-59.3,[ 1.14736172  0.04376531 -0.17018514  0.01787385],[ 0.88235491  0.0170126  -0.10857776  0.00384611]
-59.2,[ 1.1461783   0.04362222 -0.16962873  0.01781541],[ 0.88433703  0.0173604  -0.11079746  0.00392474]
-59.1,[ 1.14500534  0.0434804  -0.16907724  0.01775749],[ 0.88629323  0.01770364 -0.11298812  0.00400234]
-59.0,[ 1.14384183  0.04333972 -0.16853019  0.01770004],[ 0.88822543  0.01804268 -0.11515191  0.00407899]
-58.9,[ 1.14268852  0.04320027 -0.16798793  0.01764309],[ 0.89013258  0.01837732 -0.11728764  0.00415464]
-58.8,[ 1.1415444   0.04306193 -0.16745     0.01758659],[ 0.89201655  0.01870789 -0.11939743  0.00422937]
-58.7,[ 1.14041023  0.0429248  -0.16691675  0.01753058],[ 0.89387631  0.01903421 -0.12148009  0.00430315]
-58.6,[ 1.13928589  0.04278885 -0.16638811  0.01747506],[ 0.89571225  0.01935636 -0.12353609  0.00437598]
-58.5,[ 1.13816952  0.04265387 -0.16586323  0.01741994],[ 0.89752759  0.01967489 -0.12556901  0.00444799]
-58.4,[ 1.13706276  0.04252005 -0.16534286  0.01736528],[ 0.89931985  0.01998937 -0.12757609  0.00451908]
-58.3,[ 1.1359655   0.04238738 -0.16482696  0.0173111 ],[ 0.9010894   0.02029986 -0.12955772  0.00458928]
-58.2,[ 1.1348759   0.04225564 -0.16431466  0.0172573 ],[ 0.90283935  0.02060692 -0.13151742  0.0046587 ]
-58.1,[ 1.13379474  0.04212492 -0.16380633  0.01720391],[ 0.90456863  0.02091035 -0.13345398  0.0047273 ]
-58.0,[ 1.13272279  0.04199531 -0.16330233  0.01715098],[ 0.90627619  0.02120997 -0.1353662   0.00479503]
-57.9,[ 1.13165824  0.04186659 -0.16280181  0.01709841],[ 0.90796507  0.02150631 -0.1372575   0.00486203]
-57.8,[ 1.13060272  0.04173897 -0.16230553  0.01704629],[ 0.90963284  0.02179895 -0.13912517  0.00492818]
-57.7,[ 1.12955443  0.04161222 -0.16181265  0.01699452],[ 0.91128249  0.0220884  -0.14097254  0.00499362]
-57.6,[ 1.12851415  0.04148643 -0.16132354  0.01694315],[ 0.91291295  0.02237449 -0.14279842  0.0050583 ]
-57.5,[ 1.12748094  0.04136151 -0.16083776  0.01689213],[ 0.91452581  0.0226575  -0.14460459  0.00512228]
-57.4,[ 1.1264556   0.04123753 -0.16035567  0.0168415 ],[ 0.91611999  0.02293722 -0.14638985  0.00518552]
-57.3,[ 1.12543805  0.0411145  -0.15987725  0.01679125],[ 0.91769576  0.02321371 -0.14815449  0.00524803]
-57.2,[ 1.12442737  0.0409923  -0.15940205  0.01674135],[ 0.91925467  0.02348725 -0.14990024  0.00530987]
-57.1,[ 1.12342434  0.04087102 -0.15893045  0.01669182],[ 0.92079564  0.02375764 -0.15162591  0.00537099]
-57.0,[ 1.12242805  0.04075056 -0.15846203  0.01664262],[ 0.9223202   0.02402515 -0.15333321  0.00543147]
-56.9,[ 1.12143844  0.04063091 -0.15799674  0.01659375],[ 0.92382857  0.02428981 -0.15502236  0.00549131]
-56.8,[ 1.1204563   0.04051215 -0.15753497  0.01654525],[ 0.92531968  0.02455145 -0.15669219  0.00555045]
-56.7,[ 1.11948073  0.0403942  -0.15707628  0.01649708],[ 0.92679501  0.02481032 -0.15834435  0.00560898]
-56.6,[ 1.11851166  0.04027703 -0.15662065  0.01644923],[ 0.92825477  0.02506646 -0.15997908  0.00566689]
-56.5,[ 1.11754906  0.04016064 -0.15616806  0.01640169],[ 0.92969915  0.0253199  -0.16159657  0.00572418]
-56.4,[ 1.11659286  0.04004502 -0.15571849  0.01635448],[ 0.93112833  0.02557067 -0.16319705  0.00578087]
-56.3,[ 1.11564302  0.03993018 -0.1552719   0.01630757],[ 0.9325425   0.02581881 -0.16478072  0.00583697]
-56.2,[ 1.11469949  0.03981609 -0.15482828  0.01626098],[ 0.93394184  0.02606435 -0.16634779  0.00589248]
-56.1,[ 1.11376222  0.03970277 -0.1543876   0.0162147 ],[ 0.93532653  0.02630731 -0.16789844  0.00594741]
-56.0,[ 1.11283117  0.03959019 -0.15394985  0.01616872],[ 0.93669673  0.02654774 -0.16943287  0.00600176]
-55.9,[ 1.1119063   0.03947837 -0.15351499  0.01612305],[ 0.93805262  0.02678565 -0.17095128  0.00605555]
-55.8,[ 1.11098672  0.03936718 -0.15308264  0.01607764],[ 0.93939558  0.02702129 -0.1724552   0.00610882]
-55.7,[ 1.11007324  0.03925673 -0.15265314  0.01603253],[ 0.94072453  0.02725448 -0.17394344  0.00616154]
-55.6,[ 1.10916581  0.03914701 -0.15222649  0.01598773],[ 0.94203964  0.02748523 -0.17541617  0.00621371]
