angle,pesos_first,pesos_second
-65.0,[ 1.4616621   0.07661242 -0.31100369  0.03079858],[ 0.63493516 -0.0252232   0.16767243 -0.00533797]
-64.9,[ 1.45708935  0.07609438 -0.30890075  0.03059033],[ 0.64544158 -0.02346193  0.15596433 -0.00496524]
-64.8,[ 1.45272129  0.07559953 -0.30689195  0.0303914 ],[ 0.65537184 -0.02179725  0.14489827 -0.00461294]
-64.7,[ 1.44852818  0.0751245  -0.3049636   0.03020043],[ 0.66480914 -0.02021521  0.13438157 -0.00427813]
-64.6,[ 1.44449425  0.07466751 -0.30310845  0.03001672],[ 0.67380177 -0.01870771  0.1243604  -0.0039591 ]
-64.5,[ 1.44060093  0.07422644 -0.30131798  0.02983941],[ 0.68240202 -0.01726598  0.11477647 -0.00365399]
-64.4,[ 1.43683271  0.07379955 -0.29958503  0.02966779],[ 0.6906533  -0.01588276  0.10558145 -0.00336126]
-64.3,[ 1.43318032  0.07338578 -0.29790535  0.02950146],[ 0.69858374 -0.01455333  0.09674395 -0.00307991]
-64.2,[ 1.42963413  0.07298404 -0.29627451  0.02933995],[ 0.70622115 -0.01327301  0.088233   -0.00280896]
-64.1,[ 1.42618404  0.07259319 -0.29468786  0.02918283],[ 0.7135933  -0.01203716  0.08001764 -0.00254742]
-64.0,[ 1.42282301  0.07221242 -0.29314217  0.02902976],[ 0.72072051 -0.01084238  0.07207525 -0.00229457]
-63.9,[ 1.4195449   0.07184105 -0.29163462  0.02888047],[ 0.72762047 -0.00968569  0.0643861  -0.00204978]
-63.8,[ 1.41634433  0.07147847 -0.29016273  0.02873471],[ 0.73430874 -0.00856449  0.05693285 -0.0018125 ]
-63.7,[ 1.41321481  0.07112393 -0.28872351  0.02859218],[ 0.74080267 -0.00747586  0.04969617 -0.00158211]
-63.6,[ 1.41015388  0.07077717 -0.28731583  0.02845278],[ 0.74711075 -0.00641839  0.04266659 -0.00135832]
-63.5,[ 1.40715775  0.07043774 -0.28593795  0.02831633],[ 0.75324395 -0.00539024  0.0358319  -0.00114073]
-63.4,[ 1.40422135  0.07010508 -0.28458755  0.0281826 ],[ 0.7592155  -0.00438919  0.02917734 -0.00092888]
