angle,pesos_first,pesos_second
-65.0,[ 0.01526993 -0.01230625 -0.00015514 -0.0003728 ],[ -3.80851989e-04  -2.42188654e-03  -6.06431464e-05   1.18833993e-03]
-64.9,[ 0.01516668 -0.01222304 -0.00015409 -0.00037028],[ -3.54258136e-04  -2.25277282e-03  -5.64086013e-05   1.10536140e-03]
-64.8,[ 0.01506805 -0.01214355 -0.00015309 -0.00036787],[ -3.29122647e-04  -2.09293303e-03  -5.24062717e-05   1.02693328e-03]
-64.7,[ 0.01497337 -0.01206725 -0.00015213 -0.00036556],[ -3.05234967e-04  -1.94102821e-03  -4.86026312e-05   9.52398590e-04]
-64.6,[ 0.01488228 -0.01199384 -0.0001512  -0.00036333],[ -2.82472819e-04  -1.79628081e-03  -4.49782094e-05   8.81375806e-04]
-64.5,[ 0.01479437 -0.011923   -0.00015031 -0.00036119],[ -2.60703849e-04  -1.65784914e-03  -4.15119315e-05   8.13451949e-04]
-64.4,[ 0.01470928 -0.01185442 -0.00014944 -0.00035911],[ -2.39818224e-04  -1.52503478e-03  -3.81863088e-05   7.48284317e-04]
-64.3,[ 0.01462681 -0.01178796 -0.00014861 -0.0003571 ],[ -2.19744691e-04  -1.39738461e-03  -3.49899956e-05   6.85650586e-04]
-64.2,[ 0.01454674 -0.01172343 -0.00014779 -0.00035514],[ -2.00412881e-04  -1.27445116e-03  -3.19117873e-05   6.25331191e-04]
-64.1,[ 0.01446884 -0.01166064 -0.000147   -0.00035324],[ -1.81752471e-04  -1.15578722e-03  -2.89404861e-05   5.67106709e-04]
-64.0,[ 0.01439295 -0.01159948 -0.00014623 -0.00035139],[ -1.63712085e-04  -1.04106610e-03  -2.60679115e-05   5.10816833e-04]
-63.9,[ 0.01431893 -0.01153983 -0.00014548 -0.00034958],[ -1.46246908e-04  -9.30002806e-04  -2.32869275e-05   4.56321734e-04]
-63.8,[ 0.01424666 -0.01148159 -0.00014474 -0.00034782],[ -1.29317566e-04  -8.22346949e-04  -2.05912645e-05   4.03498553e-04]
-63.7,[ 0.014176   -0.01142464 -0.00014403 -0.00034609],[ -1.12880127e-04  -7.17819173e-04  -1.79739275e-05   3.52210217e-04]
-63.6,[ 0.01410688 -0.01136894 -0.00014332 -0.0003444 ],[ -9.69131023e-05  -6.16282820e-04  -1.54314947e-05   3.02389674e-04]
-63.5,[ 0.01403923 -0.01131442 -0.00014264 -0.00034275],[ -8.13887467e-05  -5.17561456e-04  -1.29595481e-05   2.53950353e-04]
-63.4,[ 0.01397293 -0.01126098 -0.00014196 -0.00034113],[ -6.62735544e-05  -4.21442014e-04  -1.05527527e-05   2.06787710e-04]
-63.3,[ 0.0139079  -0.01120858 -0.0001413  -0.00033955],[ -5.15454867e-05  -3.27784346e-04  -8.20759923e-06   1.60832979e-04]
-63.2,[ 0.0138441  -0.01115716 -0.00014065 -0.00033799],[ -3.71845542e-05  -2.36461339e-04  -5.92090478e-06   1.16023788e-04]
-63.1,[ 0.01378146 -0.01110668 -0.00014002 -0.00033646],[ -2.31725579e-05  -1.47357261e-04  -3.68977151e-06   7.23033528e-05]
-63.0,[ 0.01371989 -0.01105706 -0.00013939 -0.00033496],[ -9.48488513e-06  -6.03155983e-05  -1.51028035e-06   2.95948767e-05]
-62.9,[ 0.0136594  -0.0110083  -0.00013878 -0.00033348],[  3.88546571e-06   2.47081737e-05   6.18683563e-07  -1.21234867e-05]
-62.8,[ 0.01359992 -0.01096037 -0.00013817 -0.00033203],[  1.69525265e-05   1.07803286e-04   2.69935454e-06  -5.28955203e-05]
-62.7,[ 0.01354139 -0.0109132  -0.00013758 -0.0003306 ],[  2.97368558e-05   1.89100471e-04   4.73500611e-06  -9.27853707e-05]
-62.6,[ 0.01348378 -0.01086677 -0.00013699 -0.00032919],[  4.22500831e-05   2.68673685e-04   6.72749006e-06  -1.31829325e-04]
-62.5,[ 0.01342704 -0.01082105 -0.00013642 -0.00032781],[  5.45029915e-05   3.46591498e-04   8.67852338e-06  -1.70061028e-04]
