#examples;error0;error1;error2;error3;error4;error5;error6;error7;error8;error9;error10;error11;error12;error13;error14;error15;error16;error17;error18;error19;error20;error21;error22;error23;error24;error25;error26;error27;error28;error29;error30;error31;error32;error33;error34;error35;error36;error37;error38;error39;error40;error41;error42;error43;error44;error45;error46;error47;error48;error49;error_average_ratios;error_stddev_ratios
4;305775,344252;1516,85633882;1553,29541114;1417,21847224;1855,82687579;519236,424628;135142,129583;176963,81772;202748,979421;48751,7550321;1155,07098574;1884,00292328;13693,410294;21060,4917022;21806,0514;99295,1158702;59092,1877321;2494,64216052;1649,15334734;241153,448613;449376,717556;10437,4130705;1051,95622114;509186,735216;164367,136394;52965,6977829;28606,7360649;2221,74020222;4149,64629794;223717,6345;45452,2368576;220137,845316;415032,470742;1552,71050526;265101,435541;349164,38817;84828,1086168;398017,33542;1760,57049691;376562,224278;449225,518555;156427,124847;133272,907144;470646,50062;398920,08307;253167,798883;1786,67688169;189300,741775;7111,20820197;4039,71367042;150516,684713;57,696075277
5;213533,950816;1058,80187239;1639,54159257;20773,6929264;1032,9326489;59795,8613679;2261,77064388;1595,1849129;9538,6472618;22385,7559261;2494,64216052;1288,86753207;71820,907134;296973,897165;1970,97384864;1288,40896411;1405,33625814;4289,56965603;1550,67863921;1827,47805895;2151,14008122;2494,64216052;19030,9982214;4980,70476132;383677,241516;2320,53261399;1158,78495603;1233,14203006;1253,51174425;2494,64216052;1561,43451282;1124,06040213;121981,147064;1571,11077292;22197,3448694;1460,89889171;8962,55816309;1148,87150538;53289,4353622;3915,41094119;2060,17118155;1994,6100251;1082,24227089;1251,88230841;2024,30338456;2110,07791095;1155,09969907;3352,67629868;1777,6025213;18505,4665444;27836,9728852;38,3781171055
6;2078,16516107;2276,30363864;2439,22023664;1892,68720156;19862,4526029;10752,4830172;1609,68114429;2207,59099854;1665,54717152;23742,2983673;1711,01399493;9790,7045528;3682,34425165;1298,42833451;1192,31014082;4568,20541585;1242,69928261;1931,14718609;1599,15420582;2055,95937147;1893,53093275;2077,81919727;1742,04661839;1751,46098755;2539,14688576;4020,49325312;2322,64689966;6476,00571054;1875,46269193;2167,05129738;59378,8144653;1234,67440884;1241,40937889;1332,53328467;5621,10183494;1334,56345531;1291,91897694;1594,66685313;1613,23528779;11915,1728089;2617,42281319;1428,4513133;2189,94471291;85903,1764972;2595,78149217;2043,0690358;1380,67669623;2494,64216052;2096,43498597;3493,75347922;6345,31009383;17,0129730369
7;1282,99947685;2235,4598617;2237,23936118;2434,54706583;1872,64948318;1864,31662327;2117,12384702;2125,84918617;3282,65442388;1772,51082931;1876,14757492;2494,64216052;2112,6153037;1914,40336326;9046,28329302;5174,48243765;1757,87036715;2027,13512161;2494,64216052;3361,2215279;1503,7514165;1749,40749304;1851,30382896;1767,88547443;5394,62542701;1761,22682689;14456,016172;2494,64216052;2494,64216052;10042,0862916;2126,78216927;3273,84535367;1759,38367562;2134,76334687;2391,99900879;21308,4303957;10157,4134069;2741,36483035;1556,90862764;1947,43311713;2210,98337272;4157,98596538;1835,77759664;2260,40004551;2583,51109138;2091,97557764;1906,27744159;1845,58549346;2320,23665965;2255,43758298;3397,33750958;8,48107689388
8;2054,45778588;1754,83880932;2248,767846;1748,97881471;1944,15214384;1877,31187829;1998,21669335;47754,768023;1976,8956744;2304,04155226;1868,70407301;2200,9311551;2494,64174152;1926,46779114;1618,79224195;2195,19761154;1808,36640801;2494,43177058;2932,3511692;2161,23253297;2494,63776032;2059,68621823;2122,7577902;2494,64214328;2494,65297494;1699,65542205;54460,1108928;2239,30543763;5187,24664331;25650,2228357;2183,06709746;2015,02275809;1938,85338523;1864,12316224;2055,46082893;1969,35856857;2051,81145316;1897,22704579;1901,28855188;2346,4651056;2005,3709696;1610,42185478;2431,78071481;1797,73899953;1697,57411297;2059,47521711;2099,27559026;2845,33279809;2294,11342822;2373,17732121;4594,06805596;14,2005253153
9;1809,81448187;2120,5825912;5045,11373587;3799,83131192;1973,42541871;1894,08235474;94053,4604078;2212,3247903;2304,61367558;8529,21997546;1750,83457558;1851,38656495;2032,32179005;2153,56771381;8031,41370349;445499,476424;3534,22867901;2208,39815165;2017,55742555;2224,17231468;2138,01693959;1978,31311386;1966,04782317;1905,99292191;2494,63953563;2155,0811566;2155,94190811;1870,75854193;1987,4468338;2226,24518271;3159,97885958;2234,56705758;2217,15677933;2492,57559619;2013,72812892;1929,12217658;1993,57390353;2010,69275373;8158,31880373;2083,36311614;1920,75481164;2293,20876357;1980,04541744;2194,19013817;2062,83455286;2124,04019174;2149,94596542;1876,14278212;2040,41311359;7597,91314628;13409,137522;35,5131476192
10;2425,8147632;1954,41717965;1844,50511893;1974,90573268;2033,58205442;2491,07741279;2090,11089849;2275,22917335;1828,91150575;2075,75880238;2494,70616669;2065,25191004;4970,87620647;2199,12561057;2177,5115829;2494,7813736;1903,67805136;2285,57073841;1978,59499381;2150,73059538;1923,80193619;2479,4916108;2071,23785478;1797,0916679;1990,38463406;2495,59322598;2154,06423874;1928,0602325;2719,49365306;2049,68312462;2037,69672968;2148,64035144;2325,28722985;1763,75362677;1996,81465121;2061,99333127;2085,14307697;2202,5421579;2396,91226583;1849,74432144;2232,42712177;2239,10221199;1741,24464631;2161,87947086;1804,40251528;1792,32020397;6205,89736915;2135,72661696;2044,7887651;2198,32216106;2254,97361749;3,8104843895
11;2154,83988836;2011,75730953;1839,10536132;2229,76429546;2742,04180618;2129,80101578;1762,90602717;2175,79492376;2017,57377806;4478,69916831;2868,60459334;2023,61340521;1909,37178211;2573,05969398;2053,70685144;2059,46132252;2117,18457268;2101,37728176;3207,96242597;1838,46122363;1968,28623117;2233,55451875;2703,45531524;6054,79405876;2072,54197361;1947,56891443;3120,35956344;2082,28874525;2357,68769378;2481,12809526;2101,94415909;1896,48694429;2168,18137831;2285,48730029;2173,86043601;1826,51425256;2030,75860384;2003,58087207;2270,14587059;2017,60439247;2494,69295228;1874,50894145;2490,56981517;2031,50082155;2494,94322642;2143,41709645;2320,57104658;2198,85180106;1975,38495983;2263,25029619;2327,58014005;3,72280928893
12;1877,69768722;1842,01373019;2216,5811781;1976,78640133;2425,89529129;2496,97203037;2273,66189822;1982,76213267;1924,62346561;2283,10156465;1774,62622513;2048,11943906;1881,08986537;1866,00207433;1972,13771315;4270,83334198;1955,30658999;2011,46621062;2271,40335343;1905,63087164;2063,92257977;2058,8730087;2491,56056917;1958,92621758;2102,59910901;2291,31721854;1884,52993798;1995,73358296;1833,01443012;2740,03034965;2102,50823926;2197,65489092;5765,39067803;2266,71230144;2282,73521873;2280,19003561;2302,75135853;6461,27079646;2084,42528673;2111,579358;2336,47559669;1797,28309392;2471,86747668;2456,21699293;1964,85342765;2285,51748075;2249,1469519;2178,88474564;2220,59979682;2517,02686478;2340,20617319;4,13946189229
13;2160,95552418;1998,8567454;1922,50936063;1934,84734477;2123,29061521;3772,32129255;2009,99368931;1624,78509763;2119,08792123;2477,0002614;2147,89948183;1977,85493535;1984,24559248;1829,04780793;2057,09831244;2261,18735555;1592,66522301;1998,90314987;2273,08819024;2119,17977968;2169,0364701;1801,23360398;2202,82521199;1880,87948416;2103,52703475;2392,2072236;2179,19158984;2128,78673232;2122,23780651;2297,50463144;1852,4198839;2209,94525608;3375,19363134;2062,18970809;2045,88873295;2089,53903589;1968,85235664;2154,80974899;1874,07268378;2279,88895349;2114,17763129;1896,66458408;2390,39932142;1942,20007034;1932,7308754;2025,75013174;2082,63946768;1954,68227618;2278,85994902;2104,06383195;2125,94431199;2,62911226572
