#examples;error0;error1;error2;error3;error4;error5;error6;error7;error8;error9;error10;error11;error12;error13;error14;error15;error16;error17;error18;error19;error20;error21;error22;error23;error24;error25;error26;error27;error28;error29;error30;error31;error32;error33;error34;error35;error36;error37;error38;error39;error40;error41;error42;error43;error44;error45;error46;error47;error48;error49
4;552,969569011;38,946839908;39,411868912;37,6459622302;43,0793091378;720,580616328;367,616824401;420,670676088;450,276558818;220,797995988;33,9863352796;43,4051025028;117,018845892;145,122333575;147,668721807;315,111275378;243,088847404;49,946392868;40,6097691121;491,07377105;670,355664969;102,163658267;32,4338745934;713,573216437;405,422170575;230,142776951;169,135259674;47,1353392076;64,4177483147;472,987985577;213,195302147;469,188496573;644,230138027;39,4044477852;514,88002053;590,901335394;291,252654266;630,886150918;41,9591527192;613,646660773;670,242880272;395,508691241;365,065620326;686,036807045;631,601205722;503,157827012;42,2691007911;435,087050801;84,3279799472;63,5587418883
5;462,097339114;32,5392358913;40,4912532848;144,130818795;32,1392695763;244,531923004;47,5580765368;39,9397660597;97,6659984938;149,618701793;49,946392868;35,9008012734;267,994229665;544,953114648;44,3956512357;35,8944141074;37,4878147955;65,4948063287;39,3786571535;42,749012374;46,3803846601;49,946392868;137,952884063;70,5741082928;619,416856015;48,1719068959;34,0409305988;35,1161220817;35,4049677906;49,946392868;39,5149909885;33,5270100386;349,257994989;39,6372397238;148,987733956;38,2217070748;94,6707883304;33,8950070863;230,845046215;62,5732446113;45,3891086226;44,6610571427;32,8974508266;35,3819489063;44,9922591627;45,935584365;33,9867577016;57,9022995975;42,1616237982;136,03479902
6;45,5868968133;47,7106239599;49,3884625863;43,505025015;140,934213741;103,694180247;40,1208317996;46,9850082318;40,8111157838;154,085360652;41,3644049266;98,9479891296;60,6823223983;36,0337110843;34,529844205;67,5885006184;35,2519401255;43,9448197868;39,9894261752;45,3426881809;43,5147208741;45,5831021023;41,73783198;41,8504598248;50,3899482611;63,4073596132;48,1938471141;80,4736336357;43,3066125659;46,5515982258;243,677685612;35,1379340434;35,2336398757;36,5038804057;74,9740077289;36,5316774226;35,9432744326;39,9332800197;40,1651003707;109,156643448;51,160754619;37,7948582918;46,7968451171;293,092436779;50,9488124707;45,2003211913;37,1574581508;49,946392868;45,7868429352;59,1079815187
7;35,8189820745;47,2806499712;47,2994647029;49,3411295557;43,2741202473;43,1777329566;46,0122141069;46,1069320837;57,2944536921;42,1011974807;43,3145192161;49,946392868;45,9631950989;43,7538954067;95,111951368;71,9338754527;41,9269646785;45,0237173233;49,946392868;57,9760427064;38,7782337981;41,8259189145;43,0267803694;42,0462302047;73,4481138424;41,9669730489;120,233174174;49,946392868;49,946392868;100,210210516;46,117048575;57,2175266301;41,9450077556;46,2034992925;48,9080669092;145,974074396;100,783993803;52,3580445619;39,4576814783;44,1297305354;47,0210949758;64,4824469556;42,8459752677;47,5436646201;50,828250918;45,7381195245;43,6609372505;42,9602780887;48,1688349418;47,4914474719
8;45,3261269676;41,8907962364;47,4211750803;41,8207940469;44,0925406825;43,3279572365;44,7014171291;218,528643484;44,4622949745;48,0004328341;43,2285099559;46,9140826949;49,9463886735;43,8915457821;40,2342173026;46,852935997;42,5248916284;49,944286666;54,1511880682;46,489058207;49,9463488187;45,3837660208;46,0733956878;49,9463926954;49,9465011281;41,226877423;233,366901879;47,3213000416;72,0225426051;160,156869461;46,7233035803;44,8890048686;44,0324128936;43,1754926114;45,3371903511;44,3774556343;45,2969254272;43,5571698551;43,603767634;48,4403252012;44,7813685543;40,1300617341;49,3130886764;42,3997523522;41,2016275524;45,3814413291;45,8178523096;53,3416609986;47,8969041611;48,715267845
9;42,5419144124;46,0497838345;71,028964063;61,6427717735;44,4232531307;43,5210564525;306,681366255;47,0353568106;48,0063920284;92,3537761841;41,8429752238;43,0277418063;45,0812798182;46,4065481781;89,6181549882;667,457471622;59,4493791306;46,9935969218;44,917228605;47,1611313974;46,2386952626;44,4782319102;44,3401378344;43,6576788424;49,9463665909;46,4228516638;46,4321215121;43,2522663213;44,5807899638;47,1831027245;56,2136892543;47,2712074902;47,0866942918;49,9257007581;44,8745822144;43,921773377;44,6494558033;44,8407488088;90,323412268;45,6438727119;43,8264168241;47,887459356;44,4977012602;46,8421833198;45,4184384679;46,0873105284;46,367509804;43,3144638905;45,1709321753;87,1660091221
10;49,2525609811;44,2087907508;42,9477021379;44,4399114837;45,0952553427;49,9106943729;45,7177306796;47,6993623998;42,7657749345;45,5604960726;49,9470336125;45,4450427444;70,5044410408;46,8948356492;46,6638144915;49,9477864735;43,6311591797;47,8076430962;44,4814005379;46,3759700209;43,8611666077;49,7944937799;45,5108542524;42,3921179926;44,6137269689;49,955912823;46,411897599;43,9096826736;52,148764636;45,2734262523;45,1408543304;46,3534286913;48,2212321478;41,9970668829;44,6857320765;45,4091767297;45,6633669036;46,9312492685;48,9582706581;43,0086540296;47,2485674044;47,3191526973;41,728223618;46,496015645;42,478259325;42,335802862;78,7775181708;46,2139223282;45,2193406089;46,8862683636
11;46,4202529976;44,8526176441;42,8847917253;47,2203800859;52,3645090322;46,1497672343;41,9869744941;46,6454169642;44,917410634;66,9230839719;53,5593557965;44,9845907529;43,6963589114;50,7253358193;45,3178425285;45,3812882422;46,0128739885;45,8407818624;56,6388773368;42,8772809729;44,3653719828;47,260496387;51,9947623828;77,8125572049;45,525179556;44,1312691233;55,8601786914;45,6321021349;48,5560263384;49,8109234532;45,846964557;43,5486732782;46,5637345829;47,806770444;46,6246762564;42,7377380375;45,0639390626;44,7613770127;47,6460477961;44,9177514182;49,9469013281;43,2955995622;49,9056090552;45,0721734727;49,9494066673;46,2970527836;48,1723058051;46,891916159;44,445303012;47,5736302608
12;43,3324092017;42,9186874239;47,0805817519;44,461066129;49,2533784759;49,9697111295;47,6829308896;44,5282172636;43,8705307195;47,7818120696;42,1263127407;45,2561536043;43,3715328916;43,1972461429;44,4087571674;65,3516131551;44,218848809;44,8493724663;47,6592420568;43,6535321783;45,4304146995;45,3748058806;49,9155343472;44,2597584447;45,8541067846;47,867705382;43,4111729625;44,6736340917;42,8137177797;52,3452992125;45,8531159166;46,8791519859;75,9301697485;47,6100021155;47,7779783868;47,7513354327;47,9869915553;80,3820303081;45,6555066419;45,9519244211;48,3371037267;42,3943757345;49,7178788433;49,5602360056;44,3266672292;47,8070860935;47,4251721336;46,6785255298;47,123240517;50,1699797168
13;46,4860788213;44,7085757478;43,8464292803;43,9868996949;46,0791776751;61,4192257567;44,8329531629;40,3086231175;46,0335521248;49,7694711786;46,3454364725;44,4730810193;44,5448716743;42,7673684943;45,3552456993;47,5519437621;39,90820997;44,7090947109;47,6769146468;46,0345498477;46,5729156281;42,4409425435;46,9342647965;43,3691074863;45,8642239087;48,9101954975;46,6818121953;46,1387768837;46,0677523492;47,9322921572;43,0397477211;47,0100548402;58,0964166824;45,4113389815;45,2315015553;45,7114759758;44,3717517869;46,4199283605;43,2905611396;47,7481827245;45,9801873777;43,550712785;48,8917101503;44,0703990263;43,9628351611;45,0083340254;45,6359449084;44,2117888824;47,7374061824;45,8700755608
