#examples;error0;error1;error2;error3;error4;error5;error6;error7;error8;error9;error10;error11;error12;error13;error14;error15;error16;error17;error18;error19;error20;error21;error22;error23;error24;error25;error26;error27;error28;error29;error30;error31;error32;error33;error34;error35;error36;error37;error38;error39;error40;error41;error42;error43;error44;error45;error46;error47;error48;error49
4;680,616131669;675,087575632;11,6046092272;672,067603421;40,8950221783;471,203734761;424,765856404;348,757400491;45,1474275006;440,408881593;221,466759142;711,662566141;200,038962172;50,941714839;12,8116573548;594,015646071;28,5511388548;19,7230370125;15,0053963709;11,4334946603;411,222756948;567,563933605;493,294336341;31,9817576865;153,643573676;571,246076104;545,326077766;114,708295036;416,570178813;322,39437378;310,404682741;12,2961995213;249,350165827;102,751191084;436,76746006;202,838221798;710,29059516;617,363981644;421,347627122;693,023556499;87,6813517299;15,530323193;133,939399809;705,252852475;250,540583794;90,4024111524;99,8322978276;342,506073225;658,307268105;618,517931712
5;27,4154991013;10,393423145;13,8792829722;55,9173765936;10,7367282028;148,29061703;10,7375497131;13,0949779906;14,0588519698;147,023077433;251,191550152;89,5066919322;15,0053963709;83,3087564231;155,326489872;10,1361839509;370,36514567;87,6811583732;18,7538711292;48,7785998362;16,1094701852;14,1351261769;15,0075370316;195,929437971;13,6821614125;132,526162187;28,8258219049;220,289041945;15,0053963709;34,2751801924;25,3633179995;11,351369419;13,8230649318;11,1315769052;13,1680242711;166,153465929;93,9476531997;12,3033616906;115,717829031;43,1451263676;56,8105836503;11,7499663162;15,2393777862;14,4862763314;226,848119202;168,216054593;12,5595167095;56,7722514004;14,849238547;55,5508758198
6;503,30749668;292,793682381;113,763246573;139,821348504;67,5915092188;11,5638759863;15,1053827567;64,1163029937;15,0053963709;11,4679060521;328,956600239;15,0053963709;10,9458244858;15,0053963709;49,9153356059;12,2867972632;84,1072993429;35,1619349509;11,7176973355;16,7957933827;68,5697502001;13,002749446;32,2563030205;11,9683330789;59,0481258783;139,205205508;14,3675012421;15,0053963709;54,427617532;74,288336019;15,0053963709;295,645418022;14,7710488995;13,0130403015;214,664699704;14,8518774025;11,2048270025;43,0381765454;227,610369588;14,3183882862;12,235559502;12,3192873684;190,758689942;13,3544711026;16,5338583045;12,9845036906;14,7653634875;19,5725544371;16,2256275142;408,050379326
7;15,0053963709;14,9422996706;13,9220352793;18,5922845283;13,9644134298;14,8788708737;14,4459807993;15,8216758045;14,5917203795;14,7812445227;14,857967843;15,6942771162;14,6142380197;14,6260037226;14,9514933464;15,417982094;14,3932690338;14,6725797606;19,4619505424;14,9833462753;14,8826323071;16,3036811122;14,924340671;15,1200141931;14,0820717911;14,2556917577;14,8522968739;14,3708129059;14,7638066458;14,8113234881;15,0053963709;18,3216898129;14,2299010753;14,2483189477;15,0053963709;14,8700106115;14,7203042659;28,4865285501;12,2215920558;14,7392623056;14,6189425583;14,2956758685;14,8770686908;14,9142882211;25,8043752441;15,7919918828;14,4393758382;19,9521169229;20,5441642692;14,4071359408
8;14,7630764932;15,6089804731;15,0053835908;15,2252045401;14,6352609277;14,9318412777;14,9360583101;14,8751061543;12,3533255048;14,9462103188;16,3210504711;14,6907433496;14,8945272148;14,5254199077;15,1717949374;14,6569021373;14,3706436531;14,982871453;14,6467566761;14,5718185822;50,4386316437;14,6948480868;14,9381605919;14,7920206676;14,6474748361;14,9994962331;14,9642488876;13,6393518998;14,8618923644;23,393344767;15,0054071279;16,7629498428;14,6504166208;29,1229526217;14,6627726631;29,0998488743;14,7373479799;12,4582863028;14,8862694872;14,9203168894;14,541313969;15,0053963324;15,0053921487;14,5036298058;15,0374788779;14,8122689272;14,7584476385;15,4611219262;14,2673328196;14,8781570031
9;14,8605950703;14,2916934456;14,8609291136;14,9258981479;14,9570148567;14,9394585228;14,3618275357;14,5955932739;14,7181571427;14,8351937811;15,5893089788;15,3680636166;16,1150272913;14,6531964923;14,9265517483;15,0057131446;14,3184107779;14,8193044212;14,8303918322;14,5890442635;12,174431709;214,064853332;14,8937533467;14,8979765997;14,9676310248;14,7522842111;15,3864450989;14,8639455553;14,9168920438;14,9608355583;15,8092654406;14,8781111408;15,0346061953;15,0696361643;14,868690335;14,8189577538;14,8179746865;15,1419505493;14,8515176513;20,2169789642;14,3019953073;14,7000769168;13,2925253352;14,8649738911;14,8357679695;14,7462770738;15,134100858;14,8313070657;14,9926872356;14,8367498532
10;14,4690212893;15,308975613;15,104411951;15,0051879013;23,760178232;14,933529754;15,4672788732;14,6219266674;14,8387594194;14,9256767755;14,7119465153;14,5833714411;15,0064356076;14,9656243374;14,3368154309;14,0666902354;14,8329224579;14,8581180575;14,6954635065;15,154322545;17,4182714598;14,5449398614;15,004996893;14,84477912;14,8289180548;14,7216951583;20,9765558108;14,8596845729;14,9894165526;15,3561986024;43,9478369946;14,8443041487;17,3427966774;14,049033367;13,8009347873;14,8941683509;13,9153492235;14,7931935973;14,9516060174;14,740254193;17,9703702266;14,8122884908;14,9927888222;15,0021714473;14,8591027842;14,8448609282;14,8447012469;14,9134454644;15,0030119752;14,8846751886
11;15,0045674778;20,1893660656;16,4246184435;14,8657813856;70,3488304474;14,9914398894;14,9186953299;14,6137073135;14,0837672272;14,7894949876;14,4931642927;14,8751719863;14,5274989125;20,8545311063;14,1133629099;16,1097234886;15,991257554;14,8598276274;14,9432843113;14,8590801494;15,2450203813;17,484220377;14,9944825486;14,3671800413;14,7518184061;14,6912021244;14,7005841844;19,1272859004;16,8482428104;14,866723033;14,9732399905;14,8257431213;14,7437534743;14,8435801776;14,6874082466;14,7329373469;14,4140159437;14,9098970851;15,53719466;15,0056772751;14,8244356131;14,9594267086;14,4862374781;15,0545475989;14,8943258264;14,69597038;14,8103707696;14,8503430382;14,795070585;14,8493019763
12;15,5112345;15,4208319287;14,9036068147;19,8382299285;14,8208487951;18,1748002102;14,8623694226;14,6575298051;15,0858627517;15,0174503281;14,3994442828;17,3661781826;15,1229222374;14,8878740358;14,8157640954;13,7621633914;14,7810725916;14,5916031099;16,0982815288;15,0276386596;15,0094365784;14,7994722322;14,7904696889;20,6824831345;14,8814530195;14,9155823869;14,8134102948;14,6392256588;14,9255552109;14,8096516544;14,9200666964;16,0837315211;14,8502418895;15,0908772127;14,4384479894;14,9779800212;14,7892438019;14,5556608944;14,9034515386;14,9207047327;14,831468414;14,723886026;14,7212499488;14,8473609733;14,8254147412;15,8792891933;15,8587529305;14,8662592642;17,5160012186;14,5547412174
13;14,9106109223;14,8449226017;16,442961874;14,7995034317;14,7687558337;14,5891313458;14,7952178683;15,061869102;15,0641344413;14,823086916;14,8302002554;15,4348650804;15,005365217;14,6382838067;14,8502073973;14,8885588793;21,4441753577;14,9384515937;14,9018955548;14,9144767814;14,8039429441;14,8761563463;15,4275280633;15,0753494314;14,8558889745;16,2875426407;14,5151685631;14,9371983004;16,3639962007;14,9101385954;14,9054730001;15,0010743075;14,9862792468;14,9346530089;14,9097682973;14,8161120877;14,8933322557;14,9945281054;14,8363941593;20,774286113;14,7943017691;69,8636826735;14,5954176993;14,9233750437;14,9619600798;14,4748152753;14,8787958748;14,9864868623;15,0771931834;15,2289642198
