#examples;error0;error1;error2;error3;error4;error5;error6;error7;error8;error9;error10;error11;error12;error13;error14;error15;error16;error17;error18;error19;error20;error21;error22;error23;error24;error25;error26;error27;error28;error29;error30;error31;error32;error33;error34;error35;error36;error37;error38;error39;error40;error41;error42;error43;error44;error45;error46;error47;error48;error49
4;607,791986949;35,185135711;64,2057029398;36,1362511752;43,9965138392;33,8021602564;549,290602141;293,639679522;692,348499529;71,5504232552;73,7313647778;27,4328982264;33,8021602564;60,5382846222;113,937095671;624,490986004;441,102899106;673,472928558;395,556436934;609,086984428;528,334462154;70,0263526396;32,3077315979;58,7315693814;33,4712587603;630,883735248;267,278951846;693,69157044;692,332994953;695,011479402;648,454912311;26,471510057;390,483739866;389,402763986;390,549860453;33,8021602564;535,046443685;25,5294571819;33,8021602564;184,654937329;86,7366024986;392,989093742;122,370314987;204,218188783;667,553353823;27,101685217;58,0710854987;335,264324824;285,817097144;117,282523421
5;25,887446647;21,9127192402;23,4357000429;499,472416856;506,747002951;24,8758444721;24,8971687105;34,2079759705;25,6171159598;105,435492885;22,3687478572;86,1291023929;33,8021602564;27,8011333294;28,4526518659;27,8305557383;91,896244809;31,8515117067;30,7126914272;107,726737535;79,0948500662;30,5844820653;83,9826108311;39,6548615052;23,1698210114;26,0985434421;30,822483422;227,387439957;31,2609563865;30,2808976964;31,1327157649;27,4702175801;33,8021602564;24,3785000113;28,1578971907;94,2692115327;30,3991946374;31,8556519475;23,5793939065;26,4873459712;28,7072575928;31,2839069923;29,6680099467;217,618333327;57,1709566651;83,8111384662;209,958520642;269,932870951;30,5673712282;30,4028657005
6;27,7387785438;285,876981952;33,8021602564;28,1675018772;124,547492909;24,7871773242;79,708927712;42,7890846712;29,5687052185;24,978238777;28,6802690817;28,430221035;131,779874602;31,3613687568;57,1420652409;25,2947539423;221,355507544;121,269742187;32,1578767334;71,8836584837;87,3622158888;30,9685967264;25,9221770208;32,3680088513;29,2733168893;24,9299892098;82,3438580709;78,2728116079;32,272127804;25,3098323819;24,1875714283;32,0616475715;269,84768059;31,3324312;25,5811595124;25,9628510491;24,6769619868;30,9843009168;27,6372753035;25,3801466347;29,504606176;27,0642952319;29,2593786639;36,4490406595;29,3197832257;175,625393978;267,133017652;25,7043545299;176,900630185;29,8245123682
7;33,8021602564;31,9083123183;31,4105594681;29,446666139;32,2955416583;27,6314767267;31,8279744722;272,160182521;27,0376531378;33,8021602564;31,4713537856;29,9698873021;91,4112212641;29,2721950082;24,2671098568;32,0370281237;56,4983914019;28,6530263253;31,0798795606;30,4400189274;30,8953381305;29,3417116184;30,5635564815;29,9385974805;28,3868359332;28,5505322052;33,8021602564;30,0983991534;50,3968495841;30,8335807862;31,064981109;36,506221593;30,3116891727;30,4075856884;236,590282662;30,4291614262;58,4383015924;31,4975919953;33,3026030814;31,5302454003;31,481333736;32,5323286594;31,5924299461;28,9750751699;30,8823050306;31,1065210366;30,6113481278;33,8021602564;30,9551962294;31,516366553
8;32,8043895996;28,7523265963;30,5415802505;30,0065836709;32,0134841746;32,9248594682;30,8588084248;31,0816218512;46,4374424791;36,942039765;79,6429353427;30,2703894904;33,762862971;31,6045699069;33,1022309218;30,1752007002;30,86523806;31,9526368083;30,7151152383;31,8453800888;31,3559557644;29,8248786117;28,2402217006;32,3105211038;30,5928611068;27,5019086665;31,8095320777;30,6144624222;30,8655086982;31,6600334018;30,9491103103;119,743819005;33,7919331942;58,7567598239;30,4149838928;29,8961524163;23,9797914524;33,5953732826;47,3509011847;42,983258206;30,3289569685;33,8021503014;35,7146254775;30,6661882437;32,3171799667;31,5159651526;29,5753209095;29,4403019278;31,3388051208;30,6730735988
9;31,083739738;31,0140558908;33,8018616795;31,5729222262;35,3717381676;29,6234468268;32,5192681344;34,3239901672;30,856799322;29,6517874116;30,1927277585;32,1071683273;30,1280048394;31,4332030646;30,8366784787;30,9074157089;30,3875153657;30,4669607165;30,8100939223;30,9055495631;29,6788203556;31,3792814927;29,9092126693;31,69735724;30,5417194277;30,4395703649;30,6933792796;30,6951582746;46,8270743801;33,791032553;30,5368210084;30,3926739133;30,3121296398;46,2468215124;31,0103751267;30,0503842887;28,8514982505;33,801618408;30,5432597556;32,2727931391;33,169311856;31,6365189615;31,5945863828;57,8066341089;30,8693868355;29,1158344084;30,7959859089;31,5029145763;32,6272515851;30,4639322692
10;32,882132808;35,9066187213;100,885229295;32,3456596934;31,3476934112;28,8773655533;33,1166403489;30,7240334331;33,80202809;30,0207434352;30,9979500677;32,5642410475;31,4773433282;29,0297871539;28,7299074624;118,594153439;32,0775808159;29,05517917;31,0367541264;32,8321632397;31,1431125628;31,4213858956;31,7696504387;30,7240665228;30,5093008212;30,5288935797;31,6332259183;33,8023226125;30,9169102661;31,8041019053;33,7687743041;28,6240912485;30,6399680336;30,9829494432;31,2927777866;40,4710681104;31,8565106218;87,4301427083;31,3706517242;33,8022595694;31,9471160827;31,6318836303;30,2606633255;30,1876645287;33,0262437767;31,7126250096;32,0932152176;33,3554684572;30,8147187899;32,3481483396
11;31,3423482911;32,0853369625;48,8814008494;30,8566747625;32,4108985065;30,5166678899;31,3098970343;31,4725359719;32,1353926225;30,84344176;31,5164668515;30,79157754;31,7549704456;32,7061123492;31,9303970536;30,6962569933;30,1073314095;28,8598841023;32,5398620003;32,6078398242;42,0039671698;31,2686036225;31,2800547154;32,6577608694;33,5202118132;31,9072803448;36,1770008569;30,2094979055;31,6608901486;30,7505989633;32,848284628;38,6847241815;32,5823195153;30,2524072976;31,7394268852;30,7444484289;32,0611224538;30,7625590987;31,5123933429;31,1072949049;31,1761731503;34,6259465863;31,898834242;31,7391718544;32,6411330686;31,7891715998;31,6862774557;31,7208457012;36,880437999;31,8701578754
12;30,8050137526;32,1549914477;30,7367238186;33,2519215836;31,59529922;33,2889684881;31,3327204724;32,3171492245;33,1985920485;32,7087236682;31,9631896406;34,3441707426;33,4015828218;31,4558409902;29,2010676277;32,4614157578;33,7821289886;30,6977069323;31,6889733819;32,3798042304;31,1400680731;30,0830558139;29,9900544681;31,0824359036;31,1062539966;32,2510816718;33,744243435;29,4011166557;30,2685564489;31,7441123045;31,8475772705;31,7005014629;30,5583178006;31,2907258305;30,0440239848;32,3778132832;31,673629631;31,2091841098;32,6079191455;31,6222558762;30,3058108372;43,2789987407;30,9161953335;29,4789375724;31,3247397148;31,1117463878;32,1179510554;31,5871990417;31,6786657705;32,4155075388
13;30,4353480282;31,7768011449;33,0258206257;30,5083312539;32,0058572764;39,5393340738;30,8552441637;30,8120563351;159,423325426;31,0459509534;29,8341715839;32,217230002;30,6693175242;49,2012167024;33,7624412476;31,5760542896;29,4668130869;31,1815349382;32,5933514693;31,5808098329;31,4531501936;31,4559418505;32,0282870756;31,5446383606;60,7842341977;30,436864602;31,9486785173;30,4241944577;30,1170684911;30,3067024699;30,9548351877;32,7052550823;32,4993779017;30,7976719834;31,4004033207;32,1982536638;31,0928065282;31,2956508176;31,5357637532;37,4476310199;31,3773851348;31,6719864865;31,5494498193;30,1551504042;33,7748747592;30,9356081224;32,7510967908;28,6817595416;32,2943225351;34,2574150367
