#examples;error0;error1;error2;error3;error4;error5;error6;error7;error8;error9;error10;error11;error12;error13;error14;error15;error16;error17;error18;error19;error20;error21;error22;error23;error24;error25;error26;error27;error28;error29;error30;error31;error32;error33;error34;error35;error36;error37;error38;error39;error40;error41;error42;error43;error44;error45;error46;error47;error48;error49;error_average_ratios;error_stddev_ratios
4;463238.318688;455743.234773;134.666955315;451674.863568;1672.40283896;222032.959653;180426.032767;121631.724397;2038.29020992;193959.982986;49047.5254049;506463.608047;40015.5863868;2595.05831074;164.138564178;352854.587777;815.167529904;388.998188996;225.161920249;130.724800147;169104.155832;322128.818729;243339.302266;1022.83282472;23606.3477319;326322.079464;297380.531092;13157.9929501;173530.713876;103938.132245;96351.0670678;151.196522668;62175.505198;10557.8072691;190765.814167;41143.3442221;504512.729573;381138.285831;177533.822881;480281.649862;7688.01944118;241.190938478;17939.7628212;497381.585924;62770.584128;8172.59594216;9966.48768954;117310.410196;433368.45924;382564.431849;164015.973831;59.2626351161
5;751.609590975;108.02324467;192.634495822;3126.75300511;115.2773325;21990.1070991;115.294973842;171.478448573;197.651318709;21615.7852979;63097.1948676;8011.44790064;225.161920249;6940.34889677;24126.318456;102.742225086;137170.341127;7687.98553366;351.707682329;2379.35180198;259.515029647;199.801792038;225.226167756;38388.3446635;187.201540917;17563.1836641;830.928008491;48527.2620009;225.161920249;1174.78797722;643.297899946;128.853587686;191.077124109;123.912004396;173.396863204;27606.9742401;8826.16154174;151.37270889;13390.6159556;1861.50192928;3227.44241469;138.061708433;232.238635312;209.85220195;51460.0691853;28296.6410229;157.741459977;3223.08852907;220.499885426;3085.89980435;10988.1465337;21.5827009707
6;253318.436214;85728.1404421;12942.0762708;19550.0094974;4568.61211848;133.723227827;228.172588225;4110.90030958;225.161920249;131.512869219;108212.444841;225.161920249;119.811073674;225.161920249;2491.54072865;150.965386986;7074.03780275;1236.36166949;137.304430846;282.098675356;4701.81064251;169.071493155;1040.46908455;143.240996687;3486.68116974;19378.0892405;206.425091941;225.161920249;2962.36555021;5518.75686847;225.161920249;87406.2131974;218.183885591;169.339217889;46080.9332988;220.57826238;125.548148157;1852.28464035;51806.4803438;205.016243114;149.708916326;151.764841265;36388.8777883;178.341898429;273.368470433;168.597336091;218.015958919;383.084887192;263.270988231;166505.112068;18638.2717655;30.520060384
7;225.161920249;223.272319447;193.823066317;345.673043981;195.004842439;221.380798476;208.686361254;250.325425264;212.918303633;218.485189641;220.759208425;246.310334201;213.575952895;213.919984894;223.547153287;237.714171851;207.16619348;215.284596832;378.767518913;224.500665607;221.492744387;265.810017807;222.735944465;228.6148292;198.304745929;203.224747491;220.590722431;206.520263576;217.969986674;219.375303469;225.161920249;335.684317599;202.490084614;203.014592835;225.161920249;221.117215586;216.687357682;811.482308835;149.367312379;217.245853314;213.713481523;204.366348538;221.327172831;222.435993142;665.865781738;249.387007627;208.495574598;398.086969707;422.062685521;207.565566017;254.032716422;1.4993039757
8;217.948427545;243.64027141;225.161536708;231.806853289;214.190862422;222.959883941;223.085837844;221.268783103;152.604651028;223.389202894;266.376688481;215.817940164;221.846940953;210.987823495;230.183361622;214.824780261;206.515399003;224.486436977;214.527481129;212.337896793;2544.05556209;215.938560294;223.14864187;218.80387543;214.548519074;224.984887246;223.928744771;186.031920246;220.875844652;547.248579386;225.162243075;280.996487433;214.634707163;848.146369405;214.99690217;846.801204506;217.189425481;155.208897603;221.601019246;222.61585608;211.449811946;225.161919093;225.161793535;210.355277543;226.125771004;219.403310773;217.811776698;239.046291218;203.556785786;221.359555808;297.206231994;2.63389113628
9;220.837285844;204.252501543;220.84721412;222.782435521;223.712293424;223.187420955;206.262090165;213.031343016;216.624149676;220.082974524;243.026554438;236.177379324;259.694104598;214.716167441;222.801947094;225.171426978;205.016887205;219.611783529;219.940521896;212.840212523;148.216787436;45823.7614319;221.823888751;221.949706764;224.029978496;217.629889446;236.74269278;220.936877471;222.513668246;223.826600601;249.932873772;221.358191118;226.039383449;227.093934124;221.077952279;219.60150891;219.57237381;229.278666437;220.567576546;408.726238438;204.547069769;216.09226136;176.691229787;220.967448782;220.100011246;217.452687538;229.041008781;219.967669276;224.780670545;220.129146206;1135.70132236;11.29963024
10;209.352577069;234.36473432;228.143260385;225.155663954;564.546069617;223.010310913;239.236715742;213.800739466;220.188781107;222.775827208;216.44137027;212.674722588;225.193109645;223.969911807;205.5442767;197.871774178;220.015588641;220.763672211;215.95664767;229.653491799;303.396180647;211.555275572;225.149931759;220.367467122;219.896810675;216.728308335;440.015893682;220.810225607;224.682608588;235.812835516;1931.4123765;220.353365659;300.772596594;197.375338548;190.465801004;221.836250864;193.636944012;218.838576806;223.5505225;217.275093673;322.934206082;219.403890334;224.783716667;225.065148134;220.792935552;220.369895977;220.365155109;222.410855619;225.090368328;221.55355547;270.107227524;2.213163531
11;225.137045195;407.61050213;269.768091016;220.991456203;4948.95794531;224.743269957;222.567470346;213.560441444;198.35249931;218.729161987;210.051811214;221.270741622;211.048224653;434.911467665;199.187012626;259.523190878;255.720318157;220.814477115;223.301746009;220.792262886;232.410646425;305.69796219;224.834506901;206.415862339;217.616146287;215.83141986;216.107175362;365.853065915;283.863285797;221.01945374;224.197915814;219.802659098;217.378266512;220.331872489;215.719961002;217.059442869;207.763855625;222.305031087;241.404417902;225.170350484;219.763891246;223.78444745;209.851076271;226.639403409;221.840941824;215.97154541;219.347082334;220.532688351;218.894113615;220.501769183;330.09898785;3.63729451474
12;240.598395714;237.802057374;222.117496086;393.555366696;219.657559007;330.323362681;220.890024855;214.843179986;227.583254963;225.523814358;207.343995654;301.584144671;228.702776997;221.648793305;219.50686573;189.397141212;218.480106959;212.914881317;259.154668181;225.829923683;225.2831864;219.024378353;218.757993617;427.765108607;221.457643971;222.474597941;219.437124562;214.30692789;222.772198354;219.325782124;222.608390225;258.686419643;220.529684178;227.73457505;208.468780344;224.339885514;218.721732232;211.867264074;222.112867764;222.62742972;219.972455314;216.792819706;216.715200054;220.44412787;219.792922249;252.151825285;251.500044512;221.005664509;306.810298689;211.840491906;236.055712602;0.932230704287
13;222.326318077;220.371727049;270.370995191;219.025301826;218.116148876;212.842753426;218.898471769;226.859900847;226.928146467;219.723905718;219.934839614;238.23506005;225.160985297;214.279352805;220.528659743;221.669185503;459.852656773;223.157336018;222.066491126;222.441617662;219.156726691;221.300027641;238.008622143;227.266160478;220.697437224;265.284045272;210.690118415;223.119893065;267.780371657;222.312232933;222.173125357;225.03223038;224.588565664;223.043860496;222.301190679;219.517177394;221.811345678;224.835873105;220.118591649;431.570963503;218.871364836;4880.93415671;213.026217818;222.707122695;223.860249431;209.520277255;221.378566683;224.594788475;227.321754291;231.921351207;326.950685253;3.61142929402
14;222.258310245;218.268501727;222.982941275;222.145510789;206.135668526;240.65511252;219.962201515;218.380835767;216.10141349;269.916513857;221.493283423;234.523923799;222.555001765;230.131974002;218.261849707;205.450752707;250.11722532;202.853253458;225.137502993;229.610639174;218.745284652;233.316530641;231.142124258;211.130060418;223.852884139;1118.48597752;214.551734024;221.775737975;238.369363255;220.498047318;238.013221342;214.70075108;217.284669862;230.949997726;229.992264226;224.92725538;214.928857181;218.578381902;222.019790729;2174.2518274;225.164984945;693.096167986;225.13817819;538.452541638;225.494264848;305.138017123;257.818120563;225.162336026;214.443726335;241.421650991;299.315743315;2.47001663568
15;217.156043465;219.379525519;222.511618425;1089.01373421;216.988353601;222.134660583;213.543290078;219.185346547;222.972586877;220.818444624;222.57370661;225.864483978;305.091572086;210.392711508;190.277678499;221.196689394;216.570433496;219.273213862;304.686805641;221.4810476;222.512147348;219.439772918;219.558701633;192.561394933;225.03151371;224.895388566;227.432696779;244.214858647;223.32231395;222.091890232;254.730064072;214.702568776;222.736644626;222.476401286;225.607454814;215.338056159;418.573828393;225.076088906;346.072101066;223.922729847;222.961784447;221.274716407;209.179799988;224.135669243;225.092088842;221.32539791;272.811216671;228.363680585;258.548274497;257.906644055;250.660156718;1.58444052083
