#examples;error0;error1;error2;error3;error4;error5;error6;error7;error8;error9;error10;error11;error12;error13;error14;error15;error16;error17;error18;error19;error20;error21;error22;error23;error24;error25;error26;error27;error28;error29;error30;error31;error32;error33;error34;error35;error36;error37;error38;error39;error40;error41;error42;error43;error44;error45;error46;error47;error48;error49;error_average_ratios;error_stddev_ratios
4;369411,0994;1237,993775;4122,37229;1305,828649;1935,69323;1142,586038;301720,1656;86224,26139;479346,4448;5119,463068;5436,314152;752,5639051;1142,586038;3664,883905;12981,66177;389988,9916;194571,7676;453565,7855;156464,8948;370986,9546;279137,3039;4903,690064;1043,789521;3449,397242;1120,325163;398014,2874;71438,0381;481207,9949;479324,9759;483040,9565;420493,7733;700,7408447;152477,5511;151634,5126;152529,1935;1142,586038;286274,6969;651,753184;1142,586038;34097,44588;7523,238213;154440,4278;14974,49399;41705,06863;445627,4802;734,5013416;3372,250971;112402,1675;81691,41302;13755,1903;142423,4828;59,03295679
5;670,1598939;480,1672645;549,2320365;249472,6952;256792,525;618,8076382;619,8690098;1170,18562;656,2366301;11116,64316;500,3608807;7418,222279;1142,586038;772,9030144;809,5533982;774,5398327;8444,91981;1014,518798;943,2694147;11605,04998;6255,995307;935,4105432;7053,078922;1572,508041;536,8406057;681,1339698;950,0254843;51705,04785;977,2473942;916,9327653;969,2459909;754,6128539;1142,586038;594,3112628;792,8671742;8886,684243;924,1110346;1014,782561;555,987817;701,5794966;824,1066385;978,6828367;880,1908142;47357,739;3268,518286;7024,306931;44082,58039;72863,75482;934,3641838;924,3342428;16452,64025;31,77672091
6;769,4398351;81725,64881;1142,586038;793,408162;15512,07799;614,4041597;6353,513157;1830,905767;874,3083283;623,9124124;822,5578346;808,2774681;17365,93535;983,5354503;3265,21562;639,824577;48998,26072;14706,35037;1034,129036;5167,260357;7632,156765;959,0539832;671,9592615;1047,687997;856,9270817;621,504362;6780,510962;6126,633037;1041,490233;640,5876152;585,0386116;1027,949245;72817,77072;981,7212449;654,395722;674,0696346;608,9524529;960,0269033;763,8189862;644,1518432;870,5217856;732,4760764;856,1112398;1328,532565;859,6496884;30844,27901;71360,04912;660,7138418;31293,83296;889,501538;8996,472518;19,57781316
7;1142,586038;1018,140395;986,6232461;867,1061467;1043,002011;763,4985061;1013,019959;74071,16495;731,0346872;1142,586038;990,4461091;898,1941449;8356,011373;856,8614006;588,8926208;1026,371171;3192,068231;820,9959176;965,9589135;926,5947523;954,5219182;860,9360407;934,1309848;896,3196191;805,8124543;815,1328892;1142,586038;905,9136316;2539,842448;950,7097041;965,0330513;1332,704215;918,7985005;924,6212674;55974,96185;925,9338651;3415,035093;992,0983015;1109,063372;994,156375;991,0743738;1058,352408;998,0816299;839,5549811;953,716764;967,615651;937,0546342;1142,586038;958,2241736;993,2813607;3791,980205;15,92514627
8;1076,127977;826,6962847;932,7881242;900,3950636;1024,863169;1084,046371;952,2660574;966,0672169;2156,436064;1364,714302;6342,99715;916,2964799;1139,930916;998,848839;1095,757692;910,5427373;952,6629205;1020,970999;943,4183041;1014,128233;983,1959619;889,5233842;797,5101217;1043,969774;935,9231507;756,3549803;1011,846331;937,2453094;952,6796272;1002,357715;957,847429;14338,58219;1141,894749;3452,356825;925,0712452;893,7799293;575,0303981;1128,649106;2242,107843;1847,560486;919,8456308;1142,585365;1275,534473;940,4151014;1044,400121;993,2560595;874,6996069;866,7313776;982,1207064;940,837444;1468,277347;6,370418806
9;966,1988761;961,8716628;1142,565853;996,8494179;1251,159861;877,5486019;1057,5028;1178,136301;952,1420644;879,2284967;911,6008095;1030,870258;907,6966756;988,0462549;950,9007396;955,2683458;923,4010901;928,2356953;949,2618875;955,1529938;880,8323777;984,659307;894,5610025;1004,722456;932,7966256;926,567444;942,0835316;942,1927415;2192,774895;1141,833881;932,4974373;923,7146276;918,8252033;2138,7685;961,6433655;903,0255959;832,4089513;1142,549407;932,8907165;1041,533177;1100,203249;1000,869332;998,2178887;3341,606947;952,9190436;847,7318133;948,3927481;992,4336268;1064,537546;928,0511693;1070,189666;2,857921729
10;1081,234658;1289,285268;10177,82949;1046,241701;982,6778822;833,9022413;1096,711868;943,9662304;1142,577103;901,2450364;960,8729084;1060,429795;990,823143;842,7285422;825,4075828;14064,57323;1028,971191;844,2034366;963,2801067;1077,950943;969,8934601;987,3034916;1009,310689;943,9682637;930,8174366;932,0133432;1000,660982;1142,597014;955,8553404;1011,500898;1140,330118;819,3385998;938,8076411;959,9431562;979,2379416;1637,907354;1014,837269;7644,029854;984,1177896;1142,592752;1020,618226;1000,576062;915,7077449;911,2950897;1090,732778;1005,690585;1029,974463;1112,587276;949,5468941;1046,402701;1587,662151;6,895564861
11;982,3427964;1029,468848;2389,391349;952,1343774;1050,466342;931,2670191;980,3096523;990,5205205;1032,683459;951,3178996;993,2876828;948,1212474;1008,378148;1069,689785;1019,550256;942,2601934;906,4514046;832,8929104;1058,842619;1063,271218;1764,333258;977,7255725;978,441823;1066,529345;1123,6046;1018,074539;1308,775391;912,6137637;1002,411965;945,5993366;1079,009803;1496,507885;1061,607545;915,2081473;1007,391219;945,2211092;1027,915573;946,3350423;993,0309342;967,6637963;971,9537723;1198,956177;1017,535626;1007,37503;1065,443568;1010,551431;1004,020179;1006,212052;1360,166707;1015,706963;1066,571398;2,201622064
12;948,9488723;1033,943475;944,7461911;1105,690289;998,2629328;1108,155423;981,7393722;1044,398134;1102,146514;1069,860604;1021,645492;1179,522064;1115,665735;989,4699324;852,7023506;1053,743513;1141,232239;942,3492109;1004,191034;1048,451722;969,7038396;904,9902471;899,403367;966,1178217;967,5990377;1040,132269;1138,673965;864,4256606;916,1855095;1007,688666;1014,268178;1004,921793;933,8107868;979,109523;902,6433772;1048,322793;1003,218814;974,0131728;1063,276391;999,9670667;918,4421705;1873,071732;955,8111339;869,0077604;981,2393182;967,9407633;1031,56278;997,7511433;1003,537865;1050,765129;1018,689344;1,685709211
13;926,3104096;1009,765091;1090,704828;930,7582759;1024,3749;1563,358939;952,0460924;949,3828156;25415,79669;963,8510706;890,0777941;1037,949909;940,6070374;2420,759725;1139,902439;997,0472045;868,2930735;972,2881211;1062,32656;997,3475497;989,3006571;989,4762777;1025,811173;995,0642093;3694,723127;926,4027268;1020,718059;925,6316084;907,0378145;918,4962146;958,2018215;1069,63371;1056,209564;948,4965996;985,9853287;1036,727539;966,7626178;979,4177601;994,5043955;1402,325069;984,5402979;1003,114728;995,3677839;909,3330959;1140,742165;957,0118499;1072,634341;822,6433304;1042,923268;1173,570485;1580,915123;8,286023218
14;2535,884316;1143,390965;982,5213944;918,3927016;940,9026892;1118,334979;976,8392415;1012,890853;1066,111439;1067,735999;978,323707;985,0743062;951,1517333;1078,231347;1055,497325;1045,147521;899,839348;1000,458167;995,4844026;1039,979141;860,3023207;1037,214572;1046,384733;911,040165;976,6438727;1098,543661;989,9046173;1109,918458;996,0989717;976,8444113;944,0591298;980,4463949;968,9918951;1059,521688;1052,396513;963,1911222;1046,221526;944,5514886;986,9211031;958,3877915;891,2860598;2797,139086;996,2620982;1207,24636;1129,466883;4295,394689;1005,60781;972,5047922;953,2437779;1039,250429;1139,74356;3,347800648
